department_code	commune_name	priority_in_department	new_unique_places	new_relevant_places	total_unique_places	stale_query_count
95	Argenteuil	1	26	25	26	0
95	Cergy	2	8	8	34	0
95	Sarcelles	3	16	15	50	0
95	Garges-lès-Gonesse	4	3	3	53	0
95	Franconville	5	73	67	126	0
95	Bezons	6	7	7	133	0
95	Pontoise	7	49	41	182	0
95	Herblay-sur-Seine	8	22	15	204	0
95	Goussainville	9	3	3	207	0
95	Villiers-le-Bel	10	5	5	212	0
95	Ermont	11	12	10	224	0
95	Gonesse	12	43	16	267	0
95	Taverny	13	8	6	275	0
95	Cormeilles-en-Parisis	14	14	7	289	0
95	Sannois	15	4	2	293	0
95	Eaubonne	16	7	2	300	0
95	Saint-Ouen-l'Aumône	17	8	7	308	0
95	Deuil-la-Barre	18	13	9	321	0
95	Montigny-lès-Cormeilles	19	5	5	326	0
95	Montmorency	20	3	2	329	0
95	Saint-Gratien	21	2	0	331	0
95	Éragny	22	8	7	339	0
95	Soisy-sous-Montmorency	23	6	4	345	0
95	Osny	24	2	1	347	0
95	Jouy-le-Moutier	25	7	4	354	0
95	Saint-Leu-la-Forêt	26	2	2	356	0
95	Vauréal	27	7	3	363	0
95	Domont	28	3	2	366	0
95	Montmagny	29	2	2	368	0
95	Saint-Brice-sous-Forêt	30	2	1	370	0
95	Arnouville	31	1	0	371	0
95	Persan	32	7	7	378	0
95	Louvres	33	8	8	386	0
95	L'Isle-Adam	34	16	6	402	0
95	Enghien-les-Bains	35	11	0	413	0
95	Fosses	36	2	1	415	0
95	Beaumont-sur-Oise	37	18	13	433	0
95	Pierrelaye	38	2	2	435	0
95	Méry-sur-Oise	39	3	1	438	0
95	Ézanville	40	3	2	441	0
95	Beauchamp	41	3	0	444	0
95	Bessancourt	42	3	3	447	0
95	Le Plessis-Bouchard	43	4	3	451	0
95	Groslay	44	2	0	453	0
95	Saint-Prix	45	5	5	458	0
95	Courdimanche	46	4	2	462	0
95	Écouen	47	0	0	462	0
95	Auvers-sur-Oise	48	4	0	466	0
95	Bouffémont	49	3	1	469	0
95	Menucourt	50	1	0	470	0
95	Marly-la-Ville	51	15	10	485	0
95	Magny-en-Vexin	52	5	3	490	0
95	Parmain	53	7	1	497	0
95	Viarmes	54	0	0	497	0
95	Mériel	55	6	2	503	0
95	Champagne-sur-Oise	56	2	1	505	0
95	Luzarches	57	21	18	526	0
