slug	first_name	last_name	city	department_code	website	booking_url	source_google_title	source_google_maps_url	result	error
abbies-my-bien-etre-fosses	Abbies	MY BIEN ETRE	Fosses	95			ABBIES MY BIEN ETRE	https://www.google.com/maps/place/ABBIES+MY+BIEN+ETRE/data=!4m7!3m6!1s0x2ef7027fbb8a968d:0xc0b2c6337bd7cf93!8m2!3d49.0991505!4d2.5220125!16s%2Fg%2F11tt0zvhh2!19sChIJjZaKu38C9y4Rk8_XezPGssA?authuser=0&hl=fr&rclk=1	no_external_link_found	
academie-europeenne-des-medecines-naturelles-neuville-sur-oise	Académie	EUROPÉENNE DES MÉDECINES NATURELLES	Neuville-sur-Oise	95	https://www.aemn.org/		Académie Européenne des Médecines Naturelles	https://www.google.com/maps/place/Acad%C3%A9mie+Europ%C3%A9enne+des+M%C3%A9decines+Naturelles/data=!4m7!3m6!1s0x47e68b2d9c8e1141:0xde0f1d99367b873e!8m2!3d49.0203293!4d2.0546616!16s%2Fg%2F11h0mcg229!19sChIJQRGOnC2L5kcRPod7NpkdD94?authuser=0&hl=fr&rclk=1	website_found	
accompagnement-tdah-suresnes	Accompagnement	TDAH	Suresnes	92	https://www.nidoiseau.fr/		NIDOISEAU by Séverine Lejetté, Naturopathie - Naturopédiatrie - Accompagnement TDAH - Massages - Naturopathe à Suresnes	https://www.google.com/maps/place/NIDOISEAU+by+S%C3%A9verine+Lejett%C3%A9,+Naturopathie+-+Naturop%C3%A9diatrie+-+Accompagnement+TDAH+-+Massages+-+Naturopathe+%C3%A0+Suresnes/data=!4m7!3m6!1s0xcc1816d8d2dede1:0x9296dcbdca1a5a8f!8m2!3d48.8680861!4d2.2259033!16s%2Fg%2F11x33sdng0!19sChIJ4e0tjW2BwQwRj1oayr3clpI?authuser=0&hl=fr&rclk=1	website_found	
acupuncture-par-lumiere-ezanville	Acupuncture	PAR LUMIÈRE	Ézanville	95			acupuncture par lumière	https://www.google.com/maps/place/acupuncture+par+lumi%C3%A8re/data=!4m7!3m6!1s0x47e6426d73540001:0x70c3b8b36e429315!8m2!3d49.0286599!4d2.3563044!16s%2Fg%2F11h4mw7tdv!19sChIJAQBUc21C5kcRFZNCbrO4w3A?authuser=0&hl=fr&rclk=1	no_external_link_found	
adeline-gattefosse-milly-la-foret	Adéline	GATTEFOSSÉ	Milly-la-Forêt	91	http://www.evidemmentsoi.com/		Adéline Gattefossé - Naturopathie Shiatsu drainage lymphatique massage minceur	https://www.google.com/maps/place/Ad%C3%A9line+Gattefoss%C3%A9+-+Naturopathie+Shiatsu+drainage+lymphatique+massage+minceur/data=!4m7!3m6!1s0x47e5bf8110ddfdab:0xb0c17e621c74d77a!8m2!3d48.4014327!4d2.4691285!16s%2Fg%2F11g7d8398_!19sChIJq_3dEIG_5UcRetd0HGJ-wbA?authuser=0&hl=fr&rclk=1	website_found	
afiya-esencial-le-blanc-mesnil	Afiya	ESENCIAL	Le Blanc-Mesnil	93	http://afiyaesencial-naturopathe.fr/		Afiya Esencial	https://www.google.com/maps/place/Afiya+Esencial/data=!4m7!3m6!1s0x47e6158c674568e9:0x15fe79436afc5f35!8m2!3d48.9379613!4d2.46858!16s%2Fg%2F11yrpd11v4!19sChIJ6WhFZ4wV5kcRNV_8akN5_hU?authuser=0&hl=fr&rclk=1	website_found	
agathe-descamps-boulogne-billancourt	Agathe	DESCAMPS	Boulogne-Billancourt	92	http://agathe-naturopathe.fr/		Agathe Descamps Naturopathe	https://www.google.com/maps/place/Agathe+Descamps+Naturopathe/data=!4m7!3m6!1s0x47e67ba61c4b6c07:0xfebb1752101d399b!8m2!3d48.8418037!4d2.2398321!16s%2Fg%2F11tp79fq5c!19sChIJB2xLHKZ75kcRmzkdEFIXu_4?authuser=0&hl=fr&rclk=1	website_found	
agnes-loison-igny	Agnès	LOISON	Igny	91	https://www.agnesloison-naturo.fr/		Agnès Loison Naturopathe	https://www.google.com/maps/place/Agn%C3%A8s+Loison+Naturopathe/data=!4m7!3m6!1s0x47e6792d99208413:0xe729c4ac6537188d!8m2!3d48.7310329!4d2.2210347!16s%2Fg%2F11j34z7vnf!19sChIJE4QgmS155kcRjRg3ZazEKec?authuser=0&hl=fr&rclk=1	website_found	
agnes-loison-sceaux	Agnès	LOISON	Sceaux	92	https://www.agnesloison-naturo.fr/		Agnès Loison	https://www.google.com/maps/place/Agn%C3%A8s+Loison/data=!4m7!3m6!1s0x47e671df99939b97:0xaa18b393dd2a6be1!8m2!3d48.7797087!4d2.2820555!16s%2Fg%2F11p565cv3q!19sChIJl5uTmd9x5kcR4Wsq3ZOzGKo?authuser=0&hl=fr&rclk=1	website_found	
agnes-mc-vean-franconville	Agnès	MC VEAN	Franconville	95			Agnès Mc Vean	https://www.google.com/maps/place/Agn%C3%A8s+Mc+Vean/data=!4m7!3m6!1s0xd3e36b156cb5451:0x8e617d107e1ead43!8m2!3d48.9893943!4d2.221018!16s%2Fg%2F11tr_d1hm5!19sChIJUVTLVrE2Pg0RQ60efhB9YY4?authuser=0&hl=fr&rclk=1	no_external_link_found	
agnes-natur-o-sources-colombes	Agnès	NATUR'O SOURCES	Colombes	92	http://naturosources.net/		Agnès Natur'O Sources	https://www.google.com/maps/place/Agn%C3%A8s+Natur%27O+Sources/data=!4m7!3m6!1s0x47e665811be88527:0xf7ab037197468013!8m2!3d48.9115128!4d2.2444221!16s%2Fg%2F11xyn_wgs7!19sChIJJ4XoG4Fl5kcRE4BGl3EDq_c?authuser=0&hl=fr&rclk=1	website_found	
akli-nait-chabane-enghien-les-bains	Akli	NAIT CHABANE	Enghien-les-Bains	95	https://rdv.bioresonance-therapie.com/	https://rdv.bioresonance-therapie.com/	AKLI NAIT CHABANE	https://www.google.com/maps/place/AKLI+NAIT+CHABANE/data=!4m7!3m6!1s0x47e6692c20ed93cf:0x7678abf57e9f565e!8m2!3d48.9713633!4d2.3075272!16s%2Fg%2F11vr4q2xzz!19sChIJz5PtICxp5kcRXlaffvWreHY?authuser=0&hl=fr&rclk=1	website_and_booking_found	
alexandra-auvray-franconville-franconville	Alexandra	AUVRAY FRANCONVILLE	Franconville	95	http://monreflexnature.com/		Alexandra Auvray (Franconville)	https://www.google.com/maps/place/Alexandra+Auvray+%28Franconville%29/data=!4m7!3m6!1s0x47e667543239cf77:0x4174cff1e1c0ea6e!8m2!3d48.985489!4d2.228522!16s%2Fg%2F11fgkl7yfl!19sChIJd885MlRn5kcRburA4fHPdEE?authuser=0&hl=fr&rclk=1	website_found	
alexandra-auvray-mon-reflex-nature-jouy-le-moutier	Alexandra	AUVRAY MON RÉFLEX' NATURE	Jouy-le-Moutier	95	https://www.monreflexnature.com/		Alexandra Auvray (Mon Réflex' Nature) - Jouy-le-Moutier	https://www.google.com/maps/place/Alexandra+Auvray+%28Mon+R%C3%A9flex%27+Nature%29+-+Jouy-le-Moutier/data=!4m7!3m6!1s0x47e68b723d76d94d:0x250db1172807987!8m2!3d49.0096656!4d2.0349647!16s%2Fg%2F11fj1zg2d9!19sChIJTdl2PXKL5kcRh3mAchHbUAI?authuser=0&hl=fr&rclk=1	website_found	
alexandra-bourgeois-blandy	Alexandra	BOURGEOIS	Blandy	77	https://www.lessencedhygie.fr/		Alexandra BOURGEOIS - Naturopathe, Réflexologue, Massage Bien-être & Soins du Corps	https://www.google.com/maps/place/Alexandra+BOURGEOIS+-+Naturopathe,+R%C3%A9flexologue,+Massage+Bien-%C3%AAtre+%26+Soins+du+Corps/data=!4m7!3m6!1s0x47e5f9f7931007b3:0x69cfa8346313c708!8m2!3d48.566369!4d2.7863312!16s%2Fg%2F11mpq2lqnm!19sChIJswcQk_f55UcRCMcTYzSoz2k?authuser=0&hl=fr&rclk=1	website_found	
alexandra-kouklevsky-boulogne-billancourt	Alexandra	KOUKLEVSKY	Boulogne-Billancourt	92	https://www.therapiejoyeuse.com/		Naturopathe et Reiki Paris - Thérapie Joyeuse - Alexandra Kouklevsky	https://www.google.com/maps/place/Naturopathe+et+Reiki+Paris+-+Th%C3%A9rapie+Joyeuse+-+Alexandra+Kouklevsky/data=!4m7!3m6!1s0x47e671679175ccfb:0x9cbfe5e3eacbe55b!8m2!3d48.832271!4d2.256965!16s%2Fg%2F11tr_b9g06!19sChIJ-8x1kWdx5kcRW-XL6uPlv5w?authuser=0&hl=fr&rclk=1	website_found	
alexandra-metayer-chelles	Alexandra	MÉTAYER	Chelles	77	https://alexandrametayer-naturopathe.com/?utm_campaign=gmb&utm_content=site-web&utm_medium=organic&utm_source=google		Alexandra MÉTAYER - Naturopathe Réflexologue	https://www.google.com/maps/place/Alexandra+M%C3%89TAYER+-+Naturopathe+R%C3%A9flexologue/data=!4m7!3m6!1s0x47e61075ea20df2d:0xc85b0bc36833c51d!8m2!3d48.8764323!4d2.5972256!16s%2Fg%2F11g_qpmp6s!19sChIJLd8g6nUQ5kcRHcUzaMMLW8g?authuser=0&hl=fr&rclk=1	website_found	
